team,week,win,points_scored,points_given_up
HOU,11,0.0,7.0,41.0
MIN,11,1.0,27.0,23.0
DEN,11,0.0,23.0,27.0
MIA,11,0.0,20.0,37.0
BUF,11,1.0,37.0,20.0
DET,11,0.0,27.0,35.0
DAL,11,1.0,35.0,27.0
SF,11,1.0,36.0,26.0
ARI,11,0.0,26.0,36.0
OAK,11,1.0,17.0,10.0
CIN,11,0.0,10.0,17.0
PHI,11,0.0,10.0,17.0
NE,11,1.0,17.0,10.0
LA,11,1.0,17.0,7.0
CHI,11,0.0,7.0,17.0
LAC,11,0.0,17.0,24.0
KC,11,1.0,24.0,17.0
HOU,12,1.0,20.0,17.0
IND,12,0.0,17.0,20.0
BUF,12,1.0,20.0,3.0
DEN,12,0.0,3.0,20.0
ATL,12,0.0,22.0,35.0
TB,12,1.0,35.0,22.0
WAS,12,1.0,19.0,16.0
DET,12,0.0,16.0,19.0
PHI,12,0.0,9.0,17.0
SEA,12,1.0,17.0,9.0
NYJ,12,1.0,34.0,3.0
OAK,12,0.0,3.0,34.0
NO,12,1.0,34.0,31.0
CAR,12,0.0,31.0,34.0
CLE,12,1.0,41.0,24.0
MIA,12,0.0,24.0,41.0
CIN,12,0.0,10.0,16.0
PIT,12,1.0,16.0,10.0
CHI,12,1.0,19.0,14.0
NYG,12,0.0,14.0,19.0
TEN,12,1.0,42.0,20.0
JAX,12,0.0,20.0,42.0
NE,12,1.0,13.0,9.0
DAL,12,0.0,9.0,13.0
SF,12,1.0,37.0,8.0
GB,12,0.0,8.0,37.0
LA,12,0.0,6.0,45.0
BAL,12,1.0,45.0,6.0
DET,13,0.0,20.0,24.0
CHI,13,1.0,24.0,20.0
DAL,13,0.0,15.0,26.0
BUF,13,1.0,26.0,15.0
ATL,13,0.0,18.0,26.0
NO,13,1.0,26.0,18.0
BAL,13,1.0,20.0,17.0
SF,13,0.0,17.0,20.0
PIT,13,1.0,20.0,13.0
CLE,13,0.0,13.0,20.0
NYG,13,0.0,13.0,31.0
GB,13,1.0,31.0,13.0
MIA,13,1.0,37.0,31.0
PHI,13,0.0,31.0,37.0
JAX,13,0.0,11.0,28.0
TB,13,1.0,28.0,11.0
IND,13,0.0,17.0,31.0
TEN,13,1.0,31.0,17.0
CIN,13,1.0,22.0,6.0
NYJ,13,0.0,6.0,22.0
CAR,13,0.0,21.0,29.0
WAS,13,1.0,29.0,21.0
ARI,13,0.0,7.0,34.0
LA,13,1.0,34.0,7.0
KC,13,1.0,40.0,9.0
OAK,13,0.0,9.0,40.0
DEN,13,1.0,23.0,20.0
LAC,13,0.0,20.0,23.0
HOU,13,1.0,28.0,22.0
NE,13,0.0,22.0,28.0
SEA,13,1.0,37.0,30.0
